-DOCSTART- -X- -X- O
. NN O O
In NN O O
this NN O O
situation NN O O
, NN O O
the NN O O
patient NN O O
requires NN O O
immediate NN O O
reevaluation NN O O
with NN O O
reassessment NN O O
of NN O O
the NN O O
treatment NN O O
regimen NN O O
, NN O O
giving NN O O
special NN O O
consideration NN O O
to NN O O
the NN O O
possible NN O O
need NN O O
for NN O O
replacing NN O O
the NN O O
current NN O O
strength NN O O
of NN O O
BREO NN O O
ELLIPTA NN O O
with NN O O
a NN O O
higher NN O O
strength NN O O
, NN O O
adding NN O O
additional NN O O
inhaled NN O O
corticosteroid NN O O
, NN O O
or NN O O
initiating NN O O
systemic NN O O
corticosteroids NN O O
. NN O O
Patients NN O O
should NN O O
not NN O O
use NN O O
more NN O O
than NN O O
1 NN O O
inhalation NN O O
once NN O O
daily NN O O
of NN O O
BREO NN O O
ELLIPTA. NN O O
BREO NN O O
ELLIPTA NN O O
should NN O O
not NN O O
be NN O O
used NN O O
for NN O O
the NN O O
relief NN O O
of NN O O
acute NN O O
symptoms NN O O
, NN O O
i.e. NN O O
, NN O O
as NN O O
rescue NN O O
therapy NN O O
for NN O O
the NN O O
treatment NN O O
of NN O O
acute NN O O
episodes NN O O
of NN O O
bronchospasm NN O O
. NN O O
BREO NN O O
ELLIPTA NN O O
has NN O O
not NN O O
been NN O O
studied NN O O
in NN O O
the NN O O
relief NN O O
of NN O O
acute NN O O
symptoms NN O O
and NN O O
extra NN O O
doses NN O O
should NN O O
not NN O O
be NN O O
used NN O O
for NN O O
that NN O O
purpose NN O O
. NN O O
Acute NN O O
symptoms NN O O
should NN O O
be NN O O
treated NN O O
with NN O O
an NN O O
inhaled NN O O
, NN O O
short NN O O
- NN O O
acting NN O O
beta2-agonist NN O O
. NN O O
When NN O O
beginning NN O O
treatment NN O O
with NN O O
BREO NN O O
ELLIPTA NN O O
, NN O O
patients NN O O
who NN O O
have NN O O
been NN O O
taking NN O O
oral NN O O
or NN O O
inhaled NN O O
, NN O O
short NN O O
- NN O O
acting NN O O
beta2-agonists NN O O
on NN O O
a NN O O
regular NN O O
basis NN O O
( NN O O
e.g. NN O O
, NN O O
4 NN O O
times NN O O
a NN O O
day NN O O
) NN O O
should NN O O
be NN O O
instructed NN O O
to NN O O
discontinue NN O O
the NN O O
regular NN O O
use NN O O
of NN O O
these NN O O
drugs NN O O
and NN O O
to NN O O
use NN O O
them NN O O
only NN O O
for NN O O
symptomatic NN O O
relief NN O O
of NN O O
acute NN O O
respiratory NN O O
symptoms NN O O
. NN O O
When NN O O
prescribing NN O O
BREO NN O O
ELLIPTA NN O O
, NN O O
the NN O O
healthcare NN O O
provider NN O O
should NN O O
also NN O O
prescribe NN O O
an NN O O
inhaled NN O O
, NN O O
short NN O O
- NN O O
acting NN O O
beta2-agonist NN O O
and NN O O
instruct NN O O
the NN O O
patient NN O O
on NN O O
how NN O O
it NN O O
should NN O O
be NN O O
used NN O O
. NN O O
5.3 NN O O
Excessive NN O O
Use NN O O
of NN O O
BREO NN O O
ELLIPTA NN O O
and NN O O
Use NN O O
with NN O O
Other NN O O
Long NN O O
- NN O O
Acting NN O O
Beta2-Agonists NN O O
BREO NN O O
ELLIPTA NN O O
should NN O O
not NN O O
be NN O O
used NN O O
more NN O O
often NN O O
than NN O O
recommended NN O O
, NN O O
at NN O O
higher NN O O
doses NN O O
than NN O O
recommended NN O O
, NN O O
or NN O O
in NN O O
conjunction NN O O
with NN O O
other NN O O
medicines NN O O
containing NN O O
LABA NN O O
, NN O O
as NN O O
an NN O O
overdose NN O O
may NN O O
result NN O O
. NN O O
Clinically NN O O
significant NN O O
cardiovascular NN O O
effects NN O O
and NN O O
fatalities NN B-AdverseReaction B-AdverseReaction
have NN O O
been NN O O
reported NN O O
in NN O O
association NN O O
with NN O O
excessive NN O O
use NN O O
of NN O O
inhaled NN B-DrugClass B-DrugClass
sympathomimetic NN I-DrugClass I-DrugClass
drugs NN I-DrugClass I-DrugClass
Patients NN O O
using NN O O
BREO NN O O
ELLIPTA NN O O
should NN O O
not NN O O
use NN O O
another NN O O
medicine NN O O
containing NN O O
a NN O O
LABA NN O O
( NN O O
e.g. NN O O
, NN O O
salmeterol NN O O
, NN O O
formoterol NN O O
fumarate NN O O
, NN O O
arformoterol NN O O
tartrate NN O O
, NN O O
indacaterol NN O O
) NN O O
for NN O O
any NN O O
reason NN O O
. NN O O
5.4 NN O O
Local NN O O
Effects NN O O
of NN O O
Inhaled NN O O
Corticosteroids NN O O
In NN O O
clinical NN O O
trials NN O O
, NN O O
the NN O O
development NN O O
of NN O O
localized NN O O
infections NN O O
of NN O O
the NN O O
mouth NN O O
and NN O O
pharynx NN O O
with NN O O
Candida NN O O
albicans NN O O
has NN O O
occurred NN O O
in NN O O
subjects NN O O
treated NN O O
with NN O O
BREO NN O O
ELLIPTA. NN O O
When NN O O
such NN O O
an NN O O
infection NN O O
develops NN O O
, NN O O
it NN O O
should NN O O
be NN O O
treated NN O O
with NN O O
appropriate NN O O
local NN O O
or NN O O
systemic NN O O
( NN O O
i.e. NN O O
, NN O O
oral NN O O
) NN O O
antifungal NN O O
therapy NN O O
while NN O O
treatment NN O O
with NN O O
BREO NN O O
ELLIPTA NN O O
continues NN O O
, NN O O
but NN O O
at NN O O
times NN O O
therapy NN O O
with NN O O
BREO NN O O
ELLIPTA NN O O
may NN O O
need NN O O
to NN O O
be NN O O
interrupted NN O O
. NN O O
Advise NN O O
the NN O O
patient NN O O
to NN O O
rinse NN O O
his/her NN O O
mouth NN O O
with NN O O
water NN O O
without NN O O
swallowing NN O O
following NN O O
inhalation NN O O
to NN O O
help NN O O
reduce NN O O
the NN O O
risk NN O O
of NN O O
oropharyngeal NN O O
candidiasis NN O O
. NN O O
5.5 NN O O
Pneumonia NN O O
An NN O O
increase NN O O
in NN O O
the NN O O
incidence NN O O
of NN O O
pneumonia NN B-AdverseReaction B-AdverseReaction
has NN O O
been NN O O
observed NN O O
in NN O O
subjects NN O O
with NN O O
COPD NN O O
receiving NN O O
BREO NN O O
ELLIPTA NN O O
100/25 NN O O
in NN O O
clinical NN O O
trials NN O O
. NN O O
There NN O O
was NN O O
also NN O O
an NN O O
increased NN O O
incidence NN O O
of NN O O
pneumonias NN B-AdverseReaction B-AdverseReaction
resulting NN O O
in NN O O
hospitalization NN O O
. NN O O
In NN O O
some NN O O
incidences NN O O
these NN O O
pneumonia NN B-AdverseReaction B-AdverseReaction
events NN O O
were NN O O
fatal NN B-AdverseReaction B-AdverseReaction
Physicians NN O O
should NN O O
remain NN O O
vigilant NN O O
for NN O O
the NN O O
possible NN O O
development NN O O
of NN O O
pneumonia NN O O
in NN O O
patients NN O O
with NN O O
COPD NN O O
as NN O O
the NN O O
clinical NN O O
features NN O O
of NN O O
such NN O O
infections NN O O
overlap NN O O
with NN O O
the NN O O
symptoms NN O O
of NN O O
COPD NN O O
exacerbations NN O O
. NN O O
In NN O O
replicate NN O O
12-month NN O O
trials NN O O
in NN O O
3,255 NN O O
subjects NN O O
with NN O O
COPD NN O O
who NN O O
had NN O O
experienced NN O O
a NN O O
COPD NN O O
exacerbation NN O O
in NN O O
the NN O O
previous NN O O
year NN O O
, NN O O
there NN O O
was NN O O
a NN O O
higher NN O O
incidence NN O O
of NN O O
pneumonia NN B-AdverseReaction B-AdverseReaction
reported NN O O
in NN O O
subjects NN O O
receiving NN O O
fluticasone NN O O
furoate/vilanterol NN O O
50 NN O O
mcg/25 NN O O
mcg NN O O
: NN O O
6 NN O O
% NN O O
( NN O O
48 NN O O
of NN O O
820 NN O O
subjects NN O O
) NN O O
; NN O O
BREO NN O O
ELLIPTA NN O O
100/25 NN O O
: NN O O
6 NN O O
% NN O O
( NN O O
51 NN O O
of NN O O
806 NN O O
subjects NN O O
) NN O O
; NN O O
or NN O O
BREO NN O O
ELLIPTA NN O O
200/25 NN O O
: NN O O
7 NN O O
% NN O O
( NN O O
55 NN O O
of NN O O
811 NN O O
subjects NN O O
) NN O O
than NN O O
in NN O O
subjects NN O O
receiving NN O O
vilanterol NN O O
25 NN O O
mcg NN O O
: NN O O
3 NN O O
% NN O O
( NN O O
27 NN O O
of NN O O
818 NN O O
subjects NN O O
) NN O O
. NN O O
There NN O O
was NN O O
no NN B-Negation B-Negation
fatal NN B-AdverseReaction B-AdverseReaction
pneumonia NN B-AdverseReaction B-AdverseReaction
in NN O O
subjects NN O O
receiving NN O O
vilanterol NN O O
or NN O O
fluticasone NN O O
furoate/vilanterol NN O O
50 NN O O
mcg/25 NN O O
mcg NN O O
. NN O O
There NN O O
was NN O O
fatal NN B-AdverseReaction B-AdverseReaction
pneumonia NN B-AdverseReaction B-AdverseReaction
in NN O O
1 NN O O
subject NN O O
receiving NN O O
BREO NN O O
ELLIPTA NN O O
100/25 NN O O
and NN O O
in NN O O
7 NN O O
subjects NN O O
receiving NN O O
BREO NN O O
ELLIPTA NN O O
200/25 NN O O
( NN O O
less NN O O
than NN O O
1 NN O O
% NN O O
for NN O O
each NN O O
treatment NN O O
group NN O O
) NN O O
. NN O O
5.6 NN O O
Immunosuppression NN O O
Persons NN O O
who NN O O
are NN O O
using NN O O
drugs NN B-DrugClass B-DrugClass
that NN I-DrugClass I-DrugClass
suppress NN I-DrugClass I-DrugClass
the NN I-DrugClass I-DrugClass
immune NN I-DrugClass I-DrugClass
system NN I-DrugClass I-DrugClass
are NN O O
more NN O O
susceptible NN O O
to NN O O
infections NN B-AdverseReaction B-AdverseReaction
than NN O O
healthy NN O O
individuals NN O O
. NN O O
Chickenpox NN B-AdverseReaction B-AdverseReaction
and NN O O
measles NN B-AdverseReaction B-AdverseReaction
for NN O O
example NN O O
, NN O O
can NN O O
have NN O O
a NN O O
more NN O O
serious NN B-Severity B-Severity
or NN O O
even NN O O
fatal NN B-AdverseReaction B-AdverseReaction
course NN O O
in NN O O
susceptible NN O O
children NN O O
or NN O O
adults NN O O
using NN O O
corticosteroids NN B-DrugClass B-DrugClass
In NN O O
such NN O O
children NN O O
or NN O O
adults NN O O
who NN O O
have NN O O
not NN O O
had NN O O
these NN O O
diseases NN O O
or NN O O
been NN O O
properly NN O O
immunized NN O O
, NN O O
particular NN O O
care NN O O
should NN O O
be NN O O
taken NN O O
to NN O O
avoid NN O O
exposure NN O O
. NN O O
How NN O O
the NN O O
dose NN O O
, NN O O
route NN O O
, NN O O
and NN O O
duration NN O O
of NN O O
corticosteroid NN O O
administration NN O O
affect NN O O
the NN O O
risk NN O O
of NN O O
developing NN O O
a NN O O
disseminated NN O O
infection NN O O
is NN O O
not NN O O
known NN O O
. NN O O
The NN O O
contribution NN O O
of NN O O
the NN O O
underlying NN O O
disease NN O O
and/or NN O O
prior NN O O
corticosteroid NN O O
treatment NN O O
to NN O O
the NN O O
risk NN O O
is NN O O
also NN O O
not NN O O
known NN O O
. NN O O
If NN O O
a NN O O
patient NN O O
is NN O O
exposed NN O O
to NN O O
chickenpox NN O O
, NN O O
prophylaxis NN O O
with NN O O
varicella NN O O
zoster NN O O
immune NN O O
globulin NN O O
( NN O O
VZIG NN O O
) NN O O
may NN O O
be NN O O
indicated NN O O
. NN O O
If NN O O
a NN O O
patient NN O O
is NN O O
exposed NN O O
to NN O O
measles NN O O
, NN O O
prophylaxis NN O O
with NN O O
pooled NN O O
intramuscular NN O O
immunoglobulin NN O O
( NN O O
IG NN O O
) NN O O
may NN O O
be NN O O
indicated NN O O
. NN O O
( NN O O
See NN O O
the NN O O
respective NN O O
package NN O O
inserts NN O O
for NN O O
complete NN O O
VZIG NN O O
and NN O O
IG NN O O
prescribing NN O O
information NN O O
. NN O O
) NN O O
If NN O O
chickenpox NN O O
develops NN O O
, NN O O
treatment NN O O
with NN O O
antiviral NN O O
agents NN O O
may NN O O
be NN O O
considered NN O O
. NN O O
Inhaled NN O O
corticosteroids NN O O
should NN O O
be NN O O
used NN O O
with NN O O
caution NN O O
, NN O O
if NN O O
at NN O O
all NN O O
, NN O O
in NN O O
patients NN O O
with NN O O
active NN O O
or NN O O
quiescent NN O O
tuberculosis NN O O
infections NN O O
of NN O O
the NN O O
respiratory NN O O
tract NN O O
; NN O O
systemic NN O O
fungal NN O O
, NN O O
bacterial NN O O
, NN O O
viral NN O O
, NN O O
or NN O O
parasitic NN O O
infections NN O O
; NN O O
or NN O O
ocular NN O O
herpes NN O O
simplex NN O O
. NN O O
5.7 NN O O
Transferring NN O O
Patients NN O O
from NN O O
Systemic NN O O
Corticosteroid NN O O
Therapy NN O O
Particular NN O O
care NN O O
is NN O O
needed NN O O
for NN O O
patients NN O O
who NN O O
have NN O O
been NN O O
transferred NN O O
from NN O O
systemically NN O O
active NN O O
corticosteroids NN O O
to NN O O
inhaled NN O O
corticosteroids NN O O
because NN O O
deaths NN O O
due NN O O
to NN O O
adrenal NN O O
insufficiency NN O O
have NN O O
occurred NN O O
in NN O O
patients NN O O
with NN O O
asthma NN O O
during NN O O
and NN O O
after NN O O
transfer NN O O
from NN O O
systemic NN O O
corticosteroids NN O O
to NN O O
less NN O O
systemically NN O O
available NN O O
inhaled NN O O
corticosteroids NN O O
. NN O O
After NN O O
withdrawal NN O O
from NN O O
systemic NN O O
corticosteroids NN O O
, NN O O
a NN O O
number NN O O
of NN O O
months NN O O
are NN O O
required NN O O
for NN O O
recovery NN O O
of NN O O
hypothalamic NN O O
- NN O O
pituitary NN O O
- NN O O
adrenal NN O O
( NN O O
HPA NN O O
) NN O O
function NN O O
. NN O O
Patients NN O O
who NN O O
have NN O O
been NN O O
previously NN O O
maintained NN O O
on NN O O
20 NN O O
mg NN O O
or NN O O
more NN O O
of NN O O
prednisone NN O O
( NN O O
or NN O O
its NN O O
equivalent NN O O
) NN O O
may NN O O
be NN O O
most NN O O
susceptible NN O O
, NN O O
particularly NN O O
when NN O O
their NN O O
systemic NN O O
corticosteroids NN O O
have NN O O
been NN O O
almost NN O O
completely NN O O
withdrawn NN O O
. NN O O
During NN O O
this NN O O
period NN O O
of NN O O
HPA NN O O
suppression NN O O
, NN O O
patients NN O O
may NN O O
exhibit NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
adrenal NN O O
insufficiency NN O O
when NN O O
exposed NN O O
to NN O O
trauma NN O O
, NN O O
surgery NN O O
, NN O O
or NN O O
infection NN O O
( NN O O
particularly NN O O
gastroenteritis NN O O
) NN O O
or NN O O
other NN O O
conditions NN O O
associated NN O O
with NN O O
severe NN O O
electrolyte NN O O
loss NN O O
. NN O O
Although NN O O
BREO NN O O
ELLIPTA NN O O
may NN O O
control NN O O
COPD NN O O
or NN O O
asthma NN O O
symptoms NN O O
during NN O O
these NN O O
episodes NN O O
, NN O O
in NN O O
recommended NN O O
doses NN O O
it NN O O
supplies NN O O
less NN O O
than NN O O
normal NN O O
physiological NN O O
amounts NN O O
of NN O O
glucocorticoid NN O O
systemically NN O O
and NN O O
does NN O O
NOT NN O O
provide NN O O
the NN O O
mineralocorticoid NN O O
activity NN O O
that NN O O
is NN O O
necessary NN O O
for NN O O
coping NN O O
with NN O O
these NN O O
emergencies NN O O
. NN O O
During NN O O
periods NN O O
of NN O O
stress NN O O
, NN O O
a NN O O
severe NN O O
COPD NN O O
exacerbation NN O O
, NN O O
or NN O O
a NN O O
severe NN O O
asthma NN O O
attack NN O O
, NN O O
patients NN O O
who NN O O
have NN O O
been NN O O
withdrawn NN O O
from NN O O
systemic NN O O
corticosteroids NN O O
should NN O O
be NN O O
instructed NN O O
to NN O O
resume NN O O
oral NN O O
corticosteroids NN O O
( NN O O
in NN O O
large NN O O
doses NN O O
) NN O O
immediately NN O O
and NN O O
to NN O O
contact NN O O
their NN O O
physicians NN O O
for NN O O
further NN O O
instruction NN O O
. NN O O
These NN O O
patients NN O O
should NN O O
also NN O O
be NN O O
instructed NN O O
to NN O O
carry NN O O
a NN O O
warning NN O O
card NN O O
indicating NN O O
that NN O O
they NN O O
may NN O O
need NN O O
supplementary NN O O
systemic NN O O
corticosteroids NN O O
during NN O O
periods NN O O
of NN O O
stress NN O O
, NN O O
a NN O O
severe NN O O
COPD NN O O
exacerbation NN O O
, NN O O
or NN O O
a NN O O
severe NN O O
asthma NN O O
attack NN O O
. NN O O
Patients NN O O
requiring NN O O
oral NN O O
corticosteroids NN O O
should NN O O
be NN O O
weaned NN O O
slowly NN O O
from NN O O
systemic NN O O
corticosteroid NN O O
use NN O O
after NN O O
transferring NN O O
to NN O O
BREO NN O O
ELLIPTA. NN O O
Prednisone NN O O
reduction NN O O
can NN O O
be NN O O
accomplished NN O O
by NN O O
reducing NN O O
the NN O O
daily NN O O
prednisone NN O O
dose NN O O
by NN O O
2.5 NN O O
mg NN O O
on NN O O
a NN O O
weekly NN O O
basis NN O O
during NN O O
therapy NN O O
with NN O O
BREO NN O O
ELLIPTA. NN O O
Lung NN O O
function NN O O
( NN O O
FEV1or NN O O
peak NN O O
expiratory NN O O
flow NN O O
) NN O O
, NN O O
beta NN O O
- NN O O
agonist NN O O
use NN O O
, NN O O
and NN O O
COPD NN O O
or NN O O
asthma NN O O
symptoms NN O O
should NN O O
be NN O O
carefully NN O O
monitored NN O O
during NN O O
withdrawal NN O O
of NN O O
oral NN O O
corticosteroids NN O O
. NN O O
In NN O O
addition NN O O
, NN O O
patients NN O O
should NN O O
be NN O O
observed NN O O
for NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
adrenal NN O O
insufficiency NN O O
, NN O O
such NN O O
as NN O O
fatigue NN O O
, NN O O
lassitude NN O O
, NN O O
weakness NN O O
, NN O O
nausea NN O O
and NN O O
vomiting NN O O
, NN O O
and NN O O
hypotension NN O O
. NN O O
Transfer NN O O
of NN O O
patients NN O O
from NN O O
systemic NN O O
corticosteroid NN O O
therapy NN O O
to NN O O
BREO NN O O
ELLIPTA NN O O
may NN O O
unmask NN O O
allergic NN O O
conditions NN O O
previously NN O O
suppressed NN O O
by NN O O
the NN O O
systemic NN O O
corticosteroid NN O O
therapy NN O O
( NN O O
e.g. NN O O
, NN O O
rhinitis NN O O
, NN O O
conjunctivitis NN O O
, NN O O
eczema NN O O
, NN O O
arthritis NN O O
, NN O O
eosinophilic NN O O
conditions NN O O
) NN O O
. NN O O
During NN O O
withdrawal NN O O
from NN O O
oral NN O O
corticosteroids NN O O
, NN O O
some NN O O
patients NN O O
may NN O O
experience NN O O
symptoms NN O O
of NN O O
systemically NN O O
active NN O O
corticosteroid NN O O
withdrawal NN O O
( NN O O
e.g. NN O O
, NN O O
joint NN O O
and/or NN O O
muscular NN O O
pain NN O O
, NN O O
lassitude NN O O
, NN O O
depression NN O O
) NN O O
despite NN O O
maintenance NN O O
or NN O O
even NN O O
improvement NN O O
of NN O O
respiratory NN O O
function NN O O
. NN O O
5.8 NN O O
Hypercorticism NN O O
and NN O O
Adrenal NN O O
Suppression NN O O
Inhaled NN O O
fluticasone NN O O
furoate NN O O
is NN O O
absorbed NN O O
into NN O O
the NN O O
circulation NN O O
and NN O O
can NN O O
be NN O O
systemically NN O O
active NN O O
. NN O O
Effects NN O O
of NN O O
fluticasone NN O O
furoate NN O O
on NN O O
the NN O O
HPA NN O O
axis NN O O
are NN O O
not NN O O
observed NN O O
with NN O O
the NN O O
therapeutic NN O O
doses NN O O
of NN O O
BREO NN O O
ELLIPTA. NN O O
However NN O O
, NN O O
exceeding NN O O
the NN O O
recommended NN O O
dosage NN O O
or NN O O
coadministration NN O O
with NN O O
a NN O O
strong NN O O
cytochrome NN O O
P450 NN O O
3A4 NN O O
( NN O O
CYP3A4 NN O O
) NN O O
inhibitor NN O O
may NN B-Factor B-Factor
result NN O O
in NN O O
HPA NN B-AdverseReaction B-AdverseReaction
dysfunction NN I-AdverseReaction I-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.9 NN O O
) NN O O
, NN O O
Drug NN O O
Interactions NN O O
( NN O O
7.1 NN O O
) NN O O
] NN O O
. NN O O
Because NN O O
of NN O O
the NN O O
possibility NN O O
of NN O O
significant NN O O
systemic NN O O
absorption NN O O
of NN O O
inhaled NN O O
corticosteroids NN O O
in NN O O
sensitive NN O O
patients NN O O
, NN O O
patients NN O O
treated NN O O
with NN O O
BREO NN O O
ELLIPTA NN O O
should NN O O
be NN O O
observed NN O O
carefully NN O O
for NN O O
any NN O O
evidence NN O O
of NN O O
systemic NN O O
corticosteroid NN O O
effects NN O O
. NN O O
Particular NN O O
care NN O O
should NN O O
be NN O O
taken NN O O
in NN O O
observing NN O O
patients NN O O
postoperatively NN O O
or NN O O
during NN O O
periods NN O O
of NN O O
stress NN O O
for NN O O
evidence NN O O
of NN O O
inadequate NN O O
adrenal NN O O
response NN O O
. NN O O
It NN O O
is NN O O
possible NN O O
that NN O O
systemic NN O O
corticosteroid NN O O
effects NN O O
such NN O O
as NN O O
hypercorticism NN B-AdverseReaction B-AdverseReaction
and NN O O
adrenal NN B-AdverseReaction B-AdverseReaction
suppression NN I-AdverseReaction I-AdverseReaction
( NN O O
including NN O O
adrenal NN B-AdverseReaction B-AdverseReaction
crisis NN I-AdverseReaction I-AdverseReaction
may NN B-Factor B-Factor
appear NN O O
in NN O O
a NN O O
small NN O O
number NN O O
of NN O O
patients NN O O
who NN O O
are NN O O
sensitive NN O O
to NN O O
these NN O O
effects NN O O
. NN O O
If NN O O
such NN O O
effects NN O O
occur NN O O
, NN O O
BREO NN O O
ELLIPTA NN O O
should NN O O
be NN O O
reduced NN O O
slowly NN O O
, NN O O
consistent NN O O
with NN O O
accepted NN O O
procedures NN O O
for NN O O
reducing NN O O
systemic NN O O
corticosteroids NN O O
, NN O O
and NN O O
other NN O O
treatments NN O O
for NN O O
management NN O O
of NN O O
COPD NN O O
or NN O O
asthma NN O O
symptoms NN O O
should NN O O
be NN O O
considered NN O O
. NN O O
5.9 NN O O
Drug NN O O
Interactions NN O O
with NN O O
Strong NN O O
Cytochrome NN O O
P450 NN O O
3A4 NN O O
Inhibitors NN O O
Caution NN O O
should NN O O
be NN O O
exercised NN O O
when NN O O
considering NN O O
the NN O O
coadministration NN O O
of NN O O
BREO NN O O
ELLIPTA NN O O
with NN O O
long NN O O
- NN O O
term NN O O
ketoconazole NN O O
and NN O O
other NN O O
known NN O O
strong NN O O
CYP3A4 NN O O
inhibitors NN O O
( NN O O
e.g. NN O O
, NN O O
ritonavir NN O O
, NN O O
clarithromycin NN O O
, NN O O
conivaptan NN O O
, NN O O
indinavir NN O O
, NN O O
itraconazole NN O O
, NN O O
lopinavir NN O O
, NN O O
nefazodone NN O O
, NN O O
nelfinavir NN O O
, NN O O
saquinavir NN O O
, NN O O
telithromycin NN O O
, NN O O
troleandomycin NN O O
, NN O O
voriconazole NN O O
) NN O O
because NN O O
increased NN O O
systemic NN O O
corticosteroid NN O O
and NN O O
increased NN O O
cardiovascular NN O O
adverse NN O O
effects NN O O
may NN O O
occur NN O O
[ NN O O
see NN O O
Drug NN O O
Interactions NN O O
( NN O O
7.1 NN O O
) NN O O
, NN O O
Clinical NN O O
Pharmacology NN O O
( NN O O
12.3 NN O O
) NN O O
] NN O O
. NN O O
5.10 NN O O
Paradoxical NN O O
Bronchospasm NN O O
As NN O O
with NN O O
other NN O O
inhaled NN O O
medicines NN O O
, NN O O
BREO NN O O
ELLIPTA NN O O
can NN B-Factor B-Factor
produce NN O O
paradoxical NN B-AdverseReaction B-AdverseReaction
bronchospasm NN I-AdverseReaction I-AdverseReaction
which NN O O
may NN B-Factor B-Factor
be NN O O
life NN B-Severity B-Severity
threatening NN I-Severity I-Severity
If NN O O
paradoxical NN O O
bronchospasm NN O O
occurs NN O O
following NN O O
dosing NN O O
with NN O O
BREO NN O O
ELLIPTA NN O O
, NN O O
it NN O O
should NN O O
be NN O O
treated NN O O
immediately NN O O
with NN O O
an NN O O
inhaled NN O O
, NN O O
short NN O O
- NN O O
acting NN O O
bronchodilator NN O O
; NN O O
BREO NN O O
ELLIPTA NN O O
should NN O O
be NN O O
discontinued NN O O
immediately NN O O
; NN O O
and NN O O
alternative NN O O
therapy NN O O
should NN O O
be NN O O
instituted NN O O
. NN O O
5.11 NN O O
Hypersensitivity NN O O
Reactions NN O O
, NN O O
Including NN O O
Anaphylaxis NN O O
Hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
such NN O O
as NN O O
anaphylaxis NN B-AdverseReaction B-AdverseReaction
angioedema NN B-AdverseReaction B-AdverseReaction
rash NN B-AdverseReaction B-AdverseReaction
and NN O O
urticaria NN B-AdverseReaction B-AdverseReaction
may NN B-Factor B-Factor
occur NN O O
after NN O O
administration NN O O
of NN O O
BREO NN O O
ELLIPTA. NN O O
Discontinue NN O O
BREO NN O O
ELLIPTA NN O O
if NN O O
such NN O O
reactions NN O O
occur NN O O
. NN O O
There NN O O
have NN O O
been NN O O
reports NN O O
of NN O O
anaphylactic NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
in NN O O
patients NN O O
with NN O O
severe NN O O
milk NN O O
protein NN O O
allergy NN O O
after NN O O
inhalation NN O O
of NN O O
other NN O O
powder NN B-DrugClass B-DrugClass
medications NN I-DrugClass I-DrugClass
containing NN I-DrugClass I-DrugClass
lactose NN I-DrugClass I-DrugClass
therefore NN O O
, NN O O
patients NN O O
with NN O O
severe NN O O
milk NN O O
protein NN O O
allergy NN O O
should NN O O
not NN O O
use NN O O
BREO NN O O
ELLIPTA NN O O
[ NN O O
see NN O O
Contraindications NN O O
( NN O O
4 NN O O
) NN O O
] NN O O
. NN O O
5.12 NN O O
Cardiovascular NN O O
Effects NN O O
Vilanterol NN O O
, NN O O
like NN O O
other NN O O
beta2-agonists NN O O
, NN O O
can NN B-Factor B-Factor
produce NN O O
a NN O O
clinically NN O O
significant NN O O
cardiovascular NN O O
effect NN O O
in NN O O
some NN O O
patients NN O O
as NN O O
measured NN O O
by NN O O
increases NN B-AdverseReaction B-AdverseReaction
in NN I-AdverseReaction I-AdverseReaction
pulse NN I-AdverseReaction I-AdverseReaction
rate NN I-AdverseReaction I-AdverseReaction
systolic NN O O
or NN O O
diastolic NN O O
blood NN O O
pressure NN O O
, NN O O
and NN O O
also NN O O
cardiac NN B-AdverseReaction B-AdverseReaction
arrhythmias NN I-AdverseReaction I-AdverseReaction
such NN O O
as NN O O
supraventricular NN B-AdverseReaction B-AdverseReaction
tachycardia NN I-AdverseReaction I-AdverseReaction
and NN O O
extrasystoles NN B-AdverseReaction B-AdverseReaction
If NN O O
such NN O O
effects NN O O
occur NN O O
, NN O O
BREO NN O O
ELLIPTA NN O O
may NN O O
need NN O O
to NN O O
be NN O O
discontinued NN O O
. NN O O
In NN O O
addition NN O O
, NN O O
beta NN B-DrugClass B-DrugClass
- NN I-DrugClass I-DrugClass
agonists NN I-DrugClass I-DrugClass
have NN O O
been NN O O
reported NN O O
to NN O O
produce NN O O
electrocardiographic NN B-AdverseReaction B-AdverseReaction
changes NN I-AdverseReaction I-AdverseReaction
such NN O O
as NN O O
flattening NN B-AdverseReaction B-AdverseReaction
of NN I-AdverseReaction I-AdverseReaction
the NN I-AdverseReaction I-AdverseReaction
T NN I-AdverseReaction I-AdverseReaction
wave NN I-AdverseReaction I-AdverseReaction
prolongation NN B-AdverseReaction B-AdverseReaction
of NN I-AdverseReaction I-AdverseReaction
the NN I-AdverseReaction I-AdverseReaction
QTc NN I-AdverseReaction I-AdverseReaction
interval NN I-AdverseReaction I-AdverseReaction
and NN O O
ST NN B-AdverseReaction B-AdverseReaction
segment NN I-AdverseReaction I-AdverseReaction
depression NN I-AdverseReaction I-AdverseReaction
although NN O O
the NN O O
clinical NN O O
significance NN O O
of NN O O
these NN O O
findings NN O O
is NN O O
unknown NN O O
. NN O O
Fatalities NN B-AdverseReaction B-AdverseReaction
have NN O O
been NN O O
